date_downloaded,TDU_service_territory,supplier_name,plan_id,low data1,high data1,low data2,high data2,low data3,high data3,low data4,high data4,low data5,high data5,low data6,high data6,low data7,high data7,low data8,high data8,low data9,high data9,low data10,high data10,low data11,high data11,low data12,high data12
2020-04-11,Eversource,Eversource,118361,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3
2020-04-11,Eversource,"Public Power, LLC (EA)",118161,7.60,20.0,7.70,18.4,5.90,18.4,7.60,19.2,7.70,18.3,5.40,18.3,6.70,18.3,6.90,18.3,6.90,18.3,N/A,N/A,N/A,N/A,N/A,N/A
2020-04-11,Eversource,"Public Power, LLC (EA)",118171,7.60,20.0,7.70,18.4,5.90,18.4,7.60,19.2,7.70,18.3,5.40,18.3,6.70,18.3,6.90,18.3,6.90,18.3,N/A,N/A,N/A,N/A,N/A,N/A
2020-04-11,Eversource,"Public Power, LLC (EA)",118166,7.60,20.0,7.70,18.4,5.90,18.4,7.60,19.2,7.70,18.3,5.40,18.3,6.70,18.3,6.90,18.3,6.90,18.3,N/A,N/A,N/A,N/A,N/A,N/A
2020-04-11,Eversource,"Clearview Electric, Inc.",117476,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3
2020-04-11,Eversource,"Starion Energy, Inc.",117586,7.00,17.9,7.30,17.9,7.30,17.9,6.90,17.9,6.90,14.9,6.90,14.9,6.90,14.9,6.90,14.9,6.90,14.9,6.90,14.9,6.90,14.9,6.90,14.9
2020-04-11,Eversource,Direct Energy,117651,14.3,15.5,14.2,14.7,13.6,13.8,12.3,13.0,12.8,13.5,12.4,13.0,12.6,13.5,12.3,13.1,13.6,14.5,15.9,16.2,14.8,14.9,15.6,15.7
2020-04-11,Eversource,Sunwave Gas &amp; Power,118471,13.5,19.0,9.20,16.4,9.20,18.0,9.00,11.6,7.80,10.2,7.50,10.2,7.55,10.2,7.67,10.2,7.80,10.1,7.68,13.1,7.81,15.2,10.3,14.4
2020-04-11,Eversource,"Public Power, LLC",117916,5.90,18.4,7.60,19.2,7.70,18.3,5.40,18.3,6.70,18.3,6.90,18.3,6.90,18.3,5.90,18.3,5.90,18.3,6.40,18.3,6.40,18.3,5.90,18.3
2020-04-11,Eversource,"Liberty Power Holdings, LLC",118571,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-04-11,Eversource,"Liberty Power Holdings, LLC",118566,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-04-11,Eversource,Sunwave Gas &amp; Power,118466,13.5,19.0,9.20,16.4,9.20,18.0,9.00,11.6,7.80,10.2,7.50,10.2,7.55,10.2,7.67,10.2,7.80,10.1,7.68,13.1,7.81,15.2,10.3,14.4
2020-04-11,Eversource,"Clearview Electric, Inc.",111626,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3
2020-04-11,Eversource,"Starion Energy, Inc.",114116,7.00,17.9,7.30,17.9,7.30,17.9,6.90,17.9,6.90,14.9,6.90,14.9,6.90,14.9,6.90,14.9,6.90,14.9,6.90,14.9,6.90,14.9,6.90,14.9
2020-04-11,Eversource,Direct Energy,117611,14.3,15.5,14.2,14.7,13.6,13.8,12.3,13.0,12.8,13.5,12.4,13.0,12.6,13.5,12.3,13.1,13.6,14.5,15.9,16.2,14.8,14.9,15.6,15.7
2020-04-11,Eversource,North American Power,118026,16.9,17.9,16.9,17.9,16.9,17.9,16.9,17.9,16.9,17.9,16.9,17.9,16.9,17.9,16.9,17.9,16.9,17.9,16.9,17.9,16.9,17.9,16.9,17.9
2020-04-11,Eversource,"Starion Energy, Inc.",114121,7.00,17.9,7.30,17.9,7.30,17.9,6.90,17.9,6.90,14.9,6.90,14.9,6.90,14.9,6.90,14.9,6.90,14.9,6.90,14.9,6.90,14.9,6.90,14.9
2020-04-11,Eversource,"Public Power, LLC",117926,5.90,18.4,7.60,19.2,7.70,18.3,5.40,18.3,6.70,18.3,6.90,18.3,6.90,18.3,5.90,18.3,5.90,18.3,6.40,18.3,6.40,18.3,5.90,18.3
2020-04-11,Eversource,"Public Power, LLC",117931,5.90,18.4,7.60,19.2,7.70,18.3,5.40,18.3,6.70,18.3,6.90,18.3,6.90,18.3,5.90,18.3,5.90,18.3,6.40,18.3,6.40,18.3,5.90,18.3
2020-04-11,Eversource,"Discount Power, Inc.",116106,11.9,14.9,11.9,17.9,11.9,17.9,11.9,14.9,14.9,17.9,14.9,17.9,14.9,17.9,14.9,17.9,14.9,19.9,17.9,19.9,14.9,19.9,14.9,19.9
2020-04-11,Eversource,Direct Energy,117606,14.3,15.5,14.2,14.7,13.6,13.8,12.3,13.0,12.8,13.5,12.4,13.0,12.6,13.5,12.3,13.1,13.6,14.5,15.9,16.2,14.8,14.9,15.6,15.7
2020-04-11,Eversource,Direct Energy,117631,14.3,15.5,14.2,14.7,13.6,13.8,12.3,13.0,12.8,13.5,12.4,13.0,12.6,13.5,12.3,13.1,13.6,14.5,15.9,16.2,14.8,14.9,15.6,15.7
2020-04-11,Eversource,North American Power,118011,16.9,17.9,16.9,17.9,16.9,17.9,16.9,17.9,16.9,17.9,16.9,17.9,16.9,17.9,16.9,17.9,16.9,17.9,16.9,17.9,16.9,17.9,16.9,17.9
2020-04-11,Eversource,"Public Power, LLC",117921,5.90,18.4,7.60,19.2,7.70,18.3,5.40,18.3,6.70,18.3,6.90,18.3,6.90,18.3,5.90,18.3,5.90,18.3,6.40,18.3,6.40,18.3,5.90,18.3
2020-04-11,Eversource,"Discount Power, Inc.",116111,11.9,14.9,11.9,17.9,11.9,17.9,11.9,14.9,14.9,17.9,14.9,17.9,14.9,17.9,14.9,17.9,14.9,19.9,17.9,19.9,14.9,19.9,14.9,19.9
2020-04-11,Eversource,Ambit Energy,114296,9.40,18.9,9.40,18.9,9.40,18.9,9.40,18.9,8.60,18.9,8.60,18.9,8.60,18.9,8.60,18.9,8.40,18.9,9.40,18.9,9.40,18.9,9.40,18.9
2020-04-11,Eversource,Sunwave Gas &amp; Power,118551,13.5,19.0,9.20,16.4,9.20,18.0,9.00,11.6,7.80,10.2,7.50,10.2,7.55,10.2,7.67,10.2,7.80,10.1,7.68,13.1,7.81,15.2,10.3,14.4
2020-04-11,Eversource,Direct Energy,117636,14.3,15.5,14.2,14.7,13.6,13.8,12.3,13.0,12.8,13.5,12.4,13.0,12.6,13.5,12.3,13.1,13.6,14.5,15.9,16.2,14.8,14.9,15.6,15.7
2020-04-11,Eversource,"Connecticut Gas &amp; Electric, Inc.",117781,17.0,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,17.0,17.0
2020-04-11,Eversource,"Starion Energy, Inc.",118476,7.00,17.9,7.30,17.9,7.30,17.9,6.90,17.9,6.90,14.9,6.90,14.9,6.90,14.9,6.90,14.9,6.90,14.9,6.90,14.9,6.90,14.9,6.90,14.9
2020-04-11,Eversource,"Viridian Energy, LLC",118041,5.90,18.4,5.90,17.9,5.90,17.5,10.0,17.5,11.9,17.5,11.9,17.6,11.9,17.5,11.7,17.6,11.7,17.5,11.7,17.5,11.7,17.5,11.7,17.5
2020-04-11,Eversource,"Connecticut Gas &amp; Electric, Inc.",117836,17.0,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,17.0,17.0
2020-04-11,Eversource,Think Energy,113551,11.9,13.5,10.2,13.4,9.70,13.1,8.90,10.0,9.40,10.1,8.50,9.70,8.50,8.60,10.0,10.0,9.20,9.30,11.2,11.3,13.4,13.4,12.4,12.8
2020-04-11,Eversource,"Viridian Energy, LLC",118036,5.90,18.4,5.90,17.9,5.90,17.5,10.0,17.5,11.9,17.5,11.9,17.6,11.9,17.5,11.7,17.6,11.7,17.5,11.7,17.5,11.7,17.5,11.7,17.5
2020-04-11,Eversource,"Discount Power, Inc.",115326,11.9,14.9,11.9,17.9,11.9,17.9,11.9,14.9,14.9,17.9,14.9,17.9,14.9,17.9,14.9,17.9,14.9,19.9,17.9,19.9,14.9,19.9,14.9,19.9
2020-04-11,Eversource,"Clearview Electric, Inc.",82356,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3,7.99,16.3
2020-04-11,Eversource,Think Energy,113546,11.9,13.5,10.2,13.4,9.70,13.1,8.90,10.0,9.40,10.1,8.50,9.70,8.50,8.60,10.0,10.0,9.20,9.30,11.2,11.3,13.4,13.4,12.4,12.8
2020-04-11,Eversource,"Discount Power, Inc.",115321,11.9,14.9,11.9,17.9,11.9,17.9,11.9,14.9,14.9,17.9,14.9,17.9,14.9,17.9,14.9,17.9,14.9,19.9,17.9,19.9,14.9,19.9,14.9,19.9
2020-04-11,Eversource,"Liberty Power Holdings, LLC",118561,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-04-11,Eversource,Think Energy,113521,11.9,13.5,10.2,13.4,9.70,13.1,8.90,10.0,9.40,10.1,8.50,9.70,8.50,8.60,10.0,10.0,9.20,9.30,11.2,11.3,13.4,13.4,12.4,12.8
2020-04-11,Eversource,"Connecticut Gas &amp; Electric, Inc.",117791,17.0,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,17.0,17.0
2020-04-11,Eversource,"Connecticut Gas &amp; Electric, Inc.",117801,17.0,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,17.0,17.0
2020-04-11,Eversource,Ambit Energy,114286,9.40,18.9,9.40,18.9,9.40,18.9,9.40,18.9,8.60,18.9,8.60,18.9,8.60,18.9,8.60,18.9,8.40,18.9,9.40,18.9,9.40,18.9,9.40,18.9
2020-04-11,Eversource,"Connecticut Gas &amp; Electric, Inc.",117786,17.0,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,15.7,17.0,17.0,17.0
